,State,ORI,"City, State",Population,Total Crime,Total Person Crime,Total Property Crime,Total Crime Rate,Total Person Crime Rate,Total Property Crime Rate
BOSTON POLICE DEPARTMENT,MA,MA0130100,"Boston city, Massachusetts",679413.0,34958,8528,26430,5145.323978198828,1255.2011810194977,3890.1227971793296
CHARLOTTESVILLE POLICE DEPT,VA,VA1020000,"Charlottesville city, Virginia",47042.0,2591,338,2253,5507.8440542493945,718.5068662046682,4789.337188044726
CHATTANOOGA POLICE DEPARTMENT,TN,TN0330100,"Chattanooga city, Tennessee",177365.0,24263,4026,20237,13679.700053561863,2269.895413413018,11409.804640148846
CHICAGO POLICE DEPT,IL,ILCPD0000,"Chicago city, Illinois",2718555.0,212548,51064,161484,7818.418240572657,1878.3508150469645,5940.067425525693
DALLAS POLICE DEPARTMENT,TX,TXDPD0000,"Dallas city, Texas",1318806.0,114909,24207,90702,8713.108675574724,1835.5239512104129,6877.584724364311
DENVER POLICE DEPARTMENT,CO,CODPD0000,"Denver city, Colorado",693417.0,66074,11391,54683,9528.753982091584,1642.734458486019,7886.019523605565
KANSAS CITY POLICE DEPARTMENT,MO,MOKPD0000,"Kansas City city, Missouri",481417.0,52815,14407,38408,10970.738465820692,2992.623858318256,7978.114607502436
LAS VEGAS METRO POLICE DEPARTMENT,NV,NV0020100,"Las Vegas city, Nevada",626637.0,110200,17708,92492,17585.938908810043,2825.878459139821,14760.060449670224
NEW ORLEANS POLICE DEPARTMENT,LA,LANPD0000,"New Orleans city, Louisiana",389648.0,50790,9032,41758,13034.84170328091,2317.989570073502,10716.852133207409
PORTLAND POLICE BUREAU,OR,OR0260200,"Portland city, Oregon",639387.0,76641,7485,69156,11986.63720094403,1170.6525156126102,10815.98468533142
SAN FRANCISCO POLICE DEPARTMENT,CA,CA0380100,"San Francisco city, California",870044.0,109482,11866,97616,12583.501524060854,1363.8390702079435,11219.662453852909
SIOUX FALLS POLICE DEPARTMENT,SD,SD0490200,"Sioux Falls city, South Dakota",174151.0,13230,1895,11335,7596.855602322123,1088.136157702224,6508.719444619898
