,State,ORI,"City, State",Population,Agg Assault,Homicide,Sex Crimes,Violent Crime,Total Person Crime,Agg Assault Crime Rate,Homicide Crime Rate,Sex Crimes Rate,Violent Crime Rate,Total Person Crime Rate
BOSTON POLICE DEPARTMENT,MA,MA0130100,"Boston city, Massachusetts",679413.0,2932,42,231,4284,7489,431.54899891524013,6.181806942169196,33.99993818193058,630.544308101258,1102.2750521405978
CHARLOTTESVILLE POLICE DEPT,VA,VA1020000,"Charlottesville city, Virginia",47042.0,103,0,32,181,316,218.9532757960971,0.0,68.02431869393308,384.76255261255903,671.7401471025892
CHATTANOOGA POLICE DEPARTMENT,TN,TN0330100,"Chattanooga city, Tennessee",177365.0,1556,33,161,2080,3830,877.2869506385138,18.605700109942774,90.7732641727511,1172.7229160206355,2159.388830941843
CHICAGO POLICE DEPT,IL,ILCPD0000,"Chicago city, Illinois",2718555.0,15296,492,1761,25532,43081,562.6518499717681,18.09784977681158,64.77705987188047,939.1754075234822,1584.7021671439425
DALLAS POLICE DEPARTMENT,TX,TXDPD0000,"Dallas city, Texas",1318806.0,6369,198,797,12443,19807,482.93683832193665,15.013580465966943,60.433452683715416,943.5049582728619,1501.888829744481
DENVER POLICE DEPARTMENT,CO,CODPD0000,"Denver city, Colorado",693417.0,3474,67,713,5932,10186,500.99723542976307,9.66229555952623,102.8241303573463,855.4736904344716,1468.957351781107
KANSAS CITY POLICE DEPARTMENT,MO,MOKPD0000,"Kansas City city, Missouri",481417.0,5159,150,347,7308,12964,1071.6281311212524,31.158018931612304,72.0788837951298,1518.0186823481513,2692.883716196146
LAS VEGAS METRO POLICE DEPARTMENT,NV,NV0020100,"Las Vegas city, Nevada",626637.0,5213,84,1439,8854,15590,831.9010846790088,13.404889912341593,229.63853076023278,1412.9392295699106,2487.8837349214937
NEW ORLEANS POLICE DEPARTMENT,LA,LANPD0000,"New Orleans city, Louisiana",389648.0,2608,121,774,4516,8019,669.3220547776455,31.053668952490455,198.64082453907116,1158.994785036751,2058.011333305958
PORTLAND POLICE BUREAU,OR,OR0260200,"Portland city, Oregon",639387.0,2230,29,368,3879,6506,348.77155775766477,4.535594248866492,57.555127020098936,606.6748307363147,1017.5371097629449
SAN FRANCISCO POLICE DEPARTMENT,CA,CA0380100,"San Francisco city, California",870044.0,2514,40,324,5933,8811,288.95090363246,4.597468633770246,37.239495933539,681.9195351039717,1012.707403303741
SIOUX FALLS POLICE DEPARTMENT,SD,SD0490200,"Sioux Falls city, South Dakota",174151.0,709,4,116,998,1827,407.1179608500669,2.2968573249651167,66.60886242398837,573.0659025787966,1049.0895831778168
