Hotel,Lat,Lng,Hotel Rating,Address,State
"The Liberty, a Luxury Collection Hotel, Boston",42.3620711,-71.07009479999999,4.4,"215 Charles St, Boston",MA
Boston Park Plaza,42.3510417,-71.06970489999999,4.1,"50 Park Plaza, Boston",MA
Hyatt Regency Boston,42.3534932,-71.0609659,4.4,"1 Ave de Lafayette, Boston",MA
The Westin Boston Waterfront,42.3459926,-71.0430104,4.4,"425 Summer St, Boston",MA
The Revolution Hotel,42.3459092,-71.0709013,4.5,"40 Berkeley St, Boston",MA
W Boston,42.3508419,-71.0656551,4.3,"100 Stuart St, Boston",MA
"The Envoy Hotel, Autograph Collection",42.3537616,-71.048124,4.4,"70 Sleeper St, Boston",MA
Fairmont Copley Plaza,42.3490335,-71.076239,4.6,"138 St James Ave, Boston",MA
The Godfrey Hotel Boston,42.3544534,-71.06176099999999,4.5,"505 Washington St, Boston",MA
Kimpton Nine Zero Hotel,42.3574086,-71.0608709,4.4,"90 Tremont St, Boston",MA
Hotel Commonwealth,42.3485483,-71.0952173,4.5,"500 Commonwealth Avenue, Boston",MA
Hilton Boston Downtown/Faneuil Hall,42.3572636,-71.05344079999999,4.3,"89 Broad St, Boston",MA
InterContinental Boston,42.3536908,-71.0519125,4.6,"510 Atlantic Ave, Boston",MA
Hyatt Place Boston/Seaport District,42.347687,-71.036835,4.7,"295 Northern Ave, Boston",MA
The Verb Hotel,42.3454596,-71.096992,4.5,"1271 Boylston St, Boston",MA
YOTEL Boston,42.352378,-71.047243,4.1,"65 Seaport Blvd, Boston",MA
The Bostonian Boston,42.3610113,-71.05606639999999,4.4,"26 North St, Boston",MA
The Eliot Hotel,42.3485893,-71.088731,4.6,"370 Commonwealth Avenue, Boston",MA
Seaport Hotel Boston,42.34923999999999,-71.0415124,4.5,"1 Seaport Ln, Boston",MA
