Hotel,Lat,Lng,Hotel Rating,Address,State
"Country Inn & Suites by Radisson, Charlottesville-UVA, VA",38.0579723,-78.4938701,4.4,"1600 Emmet St N, Charlottesville",VA
Boar's Head Resort,38.0486145,-78.5412521,4.5,"200 Ednam Dr, Charlottesville",VA
Quirk Hotel Charlottesville,38.03121,-78.48776,4.6,"499 W Main St, Charlottesville",VA
Hyatt Place Charlottesville,38.066529,-78.49352999999999,4.5,"2100 Bond St, Charlottesville",VA
Sleep Inn & Suites Monticello,38.01097550000001,-78.5053093,3.9,"1185 5th St SW, Charlottesville",VA
Courtyard by Marriott Charlottesville,38.07436939999999,-78.478312,4.1,"638 Hillsdale Dr, Charlottesville",VA
Omni Charlottesville Hotel,38.031277,-78.483646,4.4,"212 Ridge McIntire Rd, Charlottesville",VA
"The Draftsman, Charlottesville, University, Autograph Collection Hotel",38.0326005,-78.4963657,4.5,"1106 W Main St, Charlottesville",VA
English Inn of Charlottesville,38.0558636,-78.4947844,4.1,"2000 Morton Dr, Charlottesville",VA
Home2 Suites by Hilton Charlottesville Downtown,38.0288481,-78.4851803,4.4,"201 Monticello Ave, Charlottesville",VA
Holiday Inn Charlottesville-Univ Area,38.0616858,-78.4931134,3.9,"1901 Emmet St N, Charlottesville",VA
Holiday Inn Charlottesville-Monticello,38.009074,-78.50635849999999,4.0,"1200 5th Street Ext, I-64 #631, Charlottesville",VA
Residence Inn by Marriott Charlottesville Downtown,38.0306024,-78.485588,4.7,"315 W Main St, Charlottesville",VA
DoubleTree by Hilton Hotel Charlottesville,38.1008234,-78.4636373,4.2,"990 Hilton Heights Rd, Charlottesville",VA
Graduate Charlottesville,38.0338072,-78.49849880000001,4.3,"1309 W Main St, Charlottesville",VA
Comfort Inn Monticello,38.019568,-78.42718099999999,3.8,"2097 Inn Dr, Charlottesville",VA
Fairfield Inn & Suites by Marriott Charlottesville Downtown/University Area,38.0264358,-78.4892196,4.3,"401 Cherry Ave, Charlottesville",VA
Days Inn by Wyndham Charlottesville/University Area,38.058336,-78.49369399999999,3.4,"1610 Emmet St N, Charlottesville",VA
Super 8 by Wyndham Charlottesville,38.0712611,-78.48508330000001,2.6,"390 Greenbrier Dr, Charlottesville",VA
Hilton Garden Inn Charlottesville,38.024574,-78.438338,4.4,"1793 Richmond Rd, Charlottesville",VA
