Hotel,Lat,Lng,Hotel Rating,Vicinity
"Country Inn & Suites by Radisson, Charlottesville-UVA, VA",38.0579723,-78.4938701,4.4,"1600 Emmet St N, Charlottesville"
Omni Charlottesville Hotel,38.031277,-78.483646,4.4,"212 Ridge McIntire Rd, Charlottesville"
Boar's Head Resort,38.0486145,-78.5412521,4.5,"200 Ednam Dr, Charlottesville"
"The Draftsman, Charlottesville, University, Autograph Collection Hotel",38.0326005,-78.4963657,4.5,"1106 W Main St, Charlottesville"
Graduate Charlottesville,38.0338072,-78.49849880000001,4.3,"1309 W Main St, Charlottesville"
Hyatt Place Charlottesville,38.066529,-78.49352999999999,4.5,"2100 Bond St, Charlottesville"
Courtyard by Marriott Charlottesville,38.07436939999999,-78.478312,4.1,"638 Hillsdale Dr, Charlottesville"
Quirk Hotel Charlottesville,38.03121,-78.48776,4.6,"499 W Main St, Charlottesville"
Residence Inn by Marriott Charlottesville Downtown,38.0306024,-78.485588,4.7,"315 W Main St, Charlottesville"
English Inn of Charlottesville,38.0558636,-78.4947844,4.1,"2000 Morton Dr, Charlottesville"
Home2 Suites by Hilton Charlottesville Downtown,38.0288481,-78.4851803,4.4,"201 Monticello Ave, Charlottesville"
DoubleTree by Hilton Hotel Charlottesville,38.1008234,-78.4636373,4.2,"990 Hilton Heights Rd, Charlottesville"
Oakhurst Inn,38.0318111,-78.50631410000001,4.5,"122 Oakhurst Cir, Charlottesville"
Sleep Inn & Suites Monticello,38.01097550000001,-78.5053093,3.9,"1185 5th St SW, Charlottesville"
The Clifton,38.0068702,-78.3970413,4.3,"1296 Clifton Inn Dr, Charlottesville"
Fairfield Inn & Suites by Marriott Charlottesville Downtown/University Area,38.0264358,-78.4892196,4.3,"401 Cherry Ave, Charlottesville"
"Homewood Suites by Hilton Charlottesville, VA",38.0618002,-78.4882647,4.6,"2036 India Rd, Charlottesville"
Comfort Inn Monticello,38.019568,-78.42718099999999,3.8,"2097 Inn Dr, Charlottesville"
Hilton Garden Inn Charlottesville,38.024574,-78.438338,4.4,"1793 Richmond Rd, Charlottesville"
The Inn at Court Square,38.0313535,-78.4783176,4.9,"410 E Jefferson St, Charlottesville"
