Hotel,Lat,Lng,Hotel Rating,Vicinity
"816 Hotel Westport Country Club Plaza, Ascend Hotel Collection",39.051005,-94.5956094,3.7,"801 Westport Rd, Kansas City"
Kansas City Marriott Country Club Plaza,39.0461924,-94.58650759999999,4.4,"4445 Main St, Kansas City"
Hotel Kansas City - In the Unbound Collection by Hyatt,39.0988427,-94.5847371,4.7,"1228 Baltimore Ave, Kansas City"
Embassy Suites by Hilton Kansas City- Plaza,39.0497813,-94.589446,3.7,"220 W 43rd St, Kansas City"
InterContinental Kansas City at the Plaza,39.0391668,-94.59249989999999,4.2,"401 Ward Pkwy, Kansas City"
The Fontaine,39.0400706,-94.5984953,4.3,"901 W 48th Pl, Kansas City"
"Hotel Phillips Kansas City, Curio Collection by Hilton",39.10011859999999,-94.5847012,4.1,"106 W 12th St, Kansas City"
Kansas City Marriott Downtown,39.100454,-94.5862796,4.4,"200 W 12th St, Kansas City"
"The Raphael Hotel, Autograph Collection",39.039523,-94.59124399999999,4.7,"325 Ward Pkwy, Kansas City"
Loews Kansas City Hotel,39.0953544,-94.58544599999999,4.7,"1515 Wyandotte St, Kansas City"
Hilton President Kansas City,39.0974844,-94.5841366,4.4,"1329 Baltimore Ave, Kansas City"
SpringHill Suites by Marriott Kansas City Plaza,39.045952,-94.59750299999999,4.2,"4500 Madison Ave, Kansas City"
Sheraton Suites Country Club Plaza,39.0428799,-94.5958109,4.1,"770 W 47th St, Kansas City"
Hotel Indigo Kansas City Downtown,39.1007605,-94.5846382,4.5,"101 W 11th St, Kansas City"
Crowne Plaza Kansas City Downtown,39.0984039,-94.5853,4.1,"1301 Wyandotte St, Kansas City"
Harrah's Kansas City,39.1424098,-94.5443201,4.0,"1 Riverboat Dr, North Kansas City"
Aloft North Kansas City,39.1421193,-94.5611417,3.0,"1875 Diamond Pkwy, North Kansas City"
Crossroads Hotel,39.0878508,-94.5874573,4.7,"2101 Central St, Kansas City"
"Ambassador Hotel Kansas City, Autograph Collection",39.100634,-94.5804754,4.6,"1111 Grand Blvd, Kansas City"
Oak Street Mansion,39.04788509999999,-94.58163830000001,4.4,"4343 Oak St, Kansas City"
