Hotel,Lat,Lng,Hotel Rating,Address,State
Caesars Palace,36.1161685,-115.174499,4.6,"3570 S Las Vegas Blvd, Las Vegas",NV
Bellagio Hotel and Casino,36.1126264,-115.1767051,4.7,"3600 S Las Vegas Blvd, Las Vegas",NV
The LINQ Hotel + Experience,36.1179171,-115.1707752,4.2,"3535 S Las Vegas Blvd, Las Vegas",NV
Artisan Hotel Boutique,36.143717,-115.169865,4.0,"1501 W Sahara Ave, Las Vegas",NV
New York-New York Hotel & Casino,36.1023715,-115.1745559,4.4,"3790 S Las Vegas Blvd, Las Vegas",NV
Flamingo Las Vegas Hotel & Casino,36.1164409,-115.1707917,4.1,"3555 S Las Vegas Blvd, Las Vegas",NV
Paris Las Vegas,36.1125414,-115.1706705,4.4,"3655 S Las Vegas Blvd, Las Vegas",NV
The Mirage,36.1211957,-115.1740735,4.4,"3400 S Las Vegas Blvd, Las Vegas",NV
MGM Grand,36.102576,-115.1702533,4.4,"3799 S Las Vegas Blvd, Las Vegas",NV
Westgate Las Vegas Resort & Casino,36.1352864,-115.1524579,3.9,"3000 Paradise Rd, Las Vegas",NV
"The STRAT Hotel, Casino & SkyPod",36.1475119,-115.1565537,4.1,"2000 S Las Vegas Blvd, Las Vegas",NV
Golden Nugget Las Vegas Hotel & Casino,36.170222,-115.144969,4.3,"129 Fremont St, Las Vegas",NV
The D Casino & Hotel,36.1694784,-115.1428737,4.3,"301 Fremont St, Las Vegas",NV
The Cosmopolitan of Las Vegas,36.1097553,-115.1738769,4.6,"3708 Las Vegas Blvd S, Las Vegas",NV
"Treasure Island - TI Hotel & Casino, a Radisson Hotel",36.1247462,-115.1720827,4.3,"3300 Las Vegas Blvd S, Las Vegas",NV
The Venetian Las Vegas,36.121174,-115.1696526,4.7,"3355 S Las Vegas Blvd, Las Vegas",NV
Palms Place Hotel & Spa,36.1144914,-115.1984644,4.3,"4381 W Flamingo Rd, Las Vegas",NV
The Alexandria Tower at SAHARA Las Vegas,36.14248750000001,-115.1562426,4.7,"2535 S Las Vegas Blvd, Las Vegas",NV
Circus Circus Hotel and Casino,36.1366365,-115.1629292,3.8,"2880 S Las Vegas Blvd, Las Vegas",NV
ARIA Resort & Casino,36.1073485,-115.1765836,4.6,"3730 S Las Vegas Blvd, Las Vegas",NV
