Hotel,Lat,Lng,Hotel Rating,Address,State
St. James Hotel New Orleans Downtown (French Quarter Area),29.9498004,-90.0676967,4.1,"330 Magazine St, New Orleans",LA
TownePlace Suites by Marriott New Orleans Downtown/Canal Street,29.9582667,-90.07726819999999,4.3,"1600 Canal St, New Orleans",LA
The Jung Hotel & Residences,29.9570083,-90.0759353,4.5,"1500 Canal St, New Orleans",LA
Old No. 77 Hotel,29.9479257,-90.0674355,4.2,"535 Tchoupitoulas St, New Orleans",LA
Hilton New Orleans Riverside,29.9473513,-90.0633793,4.2,"2 Poydras St, New Orleans",LA
Le Pavillon Hotel,29.9505233,-90.0727996,4.2,"833 Poydras St, New Orleans",LA
Prytania Park Hotel,29.938076,-90.07472899999999,4.2,"1525 Prytania St, New Orleans",LA
Alder Hotel,29.9372263,-90.10523769999999,4.6,"4545 Magnolia St, New Orleans",LA
Fairfield Inn & Suites by Marriott New Orleans Downtown/French Quarter Area,29.9511349,-90.0725283,4.4,"346 Baronne St, New Orleans",LA
Cambria Hotel New Orleans Downtown Warehouse District,29.9468623,-90.0672522,4.7,"632 Tchoupitoulas St, New Orleans",LA
Super 8 by Wyndham New Orleans,30.0096675,-90.01448119999999,3.9,"6322 Chef Menteur Hwy, New Orleans",LA
"Blake Hotel New Orleans, BW Premier Collection",29.9492471,-90.070604,3.8,"500 St Charles Ave, New Orleans",LA
Hotel De L'eau Vive,29.949712,-90.06692149999999,3.9,"315 Tchoupitoulas St, New Orleans",LA
"Andrew Jackson Hotel®, a French Quarter Inns® hotel",29.9601425,-90.0630817,4.2,"919 Royal St, New Orleans",LA
Hotel Indigo New Orleans Garden District,29.9342807,-90.08110909999999,4.3,"2203 St Charles Ave, New Orleans",LA
"NOPSI Hotel, New Orleans",29.9520488,-90.07265,4.5,"317 Baronne St, New Orleans",LA
Brent House Hotel,29.9613664,-90.14585009999999,4.3,"1512 Jefferson Hwy, New Orleans",LA
SpringHill Suites by Marriott New Orleans Downtown/Canal Street,29.9582667,-90.07726819999999,4.2,"1600 Canal St, New Orleans",LA
"Hotel St. Pierre®, a French Quarter Inns® hotel",29.961781,-90.065895,4.0,"911 Burgundy St, New Orleans",LA
