Hotel,Lat,Lng,Hotel Rating,Address,State
Kimpton RiverPlace Hotel,45.5111111,-122.6741667,4.6,"1510 S Harbor Way, Portland",OR
McMenamins Crystal Hotel,45.5228167,-122.6833028,4.5,"303 SW 12th Ave, Portland",OR
River's Edge Hotel,45.4898983,-122.6720475,3.9,"0455 SW Hamilton Ct, Portland",OR
"The Duniway Portland, A Hilton Hotel",45.5177981,-122.6790716,4.6,"545 SW Taylor St, Portland",OR
Tiny Digs Hotel Portland,45.526324,-122.638274,4.8,"2646 NE Glisan St #2318, Portland",OR
"The Nines, a Luxury Collection Hotel, Portland",45.518943,-122.6777971,4.4,"525 SW Morrison St, Portland",OR
DoubleTree by Hilton Hotel Portland,45.5309708,-122.6556492,4.2,"1000 NE Multnomah St, Portland",OR
Hotel Lucia,45.5210826,-122.6783237,4.4,"400 SW Broadway, Portland",OR
The Society Hotel - Portland,45.524684,-122.6736898,4.5,"203 NW 3rd Ave, Portland",OR
Sentinel,45.5205653,-122.6823084,4.5,"614 SW 11th Ave, Portland",OR
Hotel Eastlund,45.5304118,-122.660861,4.4,"1021 NE Grand Ave, Portland",OR
"The Benson, a Coast Hotel",45.52179049999999,-122.6788083,4.5,"309 SW Broadway, Portland",OR
The Paramount Hotel Portland,45.5182273,-122.6815842,4.6,"808 SW Taylor St, Portland",OR
Comfort Inn,45.5326112,-122.578306,3.9,"8225 NE Wasco Street Jct. 82nd &, I-84, Portland",OR
The Heathman Hotel,45.5173394,-122.681054,4.4,"1001 SW Broadway, Portland",OR
"Hi-Lo Hotel, Autograph Collection",45.5203487,-122.6751337,4.5,"320 SW Harvey Milk St, Portland",OR
Hyatt House Portland/Downtown,45.5075118,-122.6738528,4.5,"2080 S River Dr, Portland",OR
Jupiter Hotel Portland,45.5227022,-122.6568292,4.1,"800 E Burnside St, Portland",OR
Mark Spencer Hotel,45.5222072,-122.6824239,4.5,"409 SW 11th Ave, Portland",OR
McMenamins Kennedy School,45.564491,-122.630006,4.6,"5736 NE 33rd Ave, Portland",OR
