Hotel,Lat,Lng,Hotel Rating,Address,State
Hotel VIA,37.7793223,-122.3909444,4.5,"138 King St, San Francisco",CA
Hilton San Francisco Financial District,37.7952284,-122.4040729,3.9,"750 Kearny St, San Francisco",CA
San Francisco Proper,37.7808855,-122.4126775,4.3,"1100 Market Street Hotel Entrance is at, 45 McAllister St, San Francisco",CA
FOUND Hotel San Francisco,37.7848678,-122.4092516,4.1,"140 Mason St, San Francisco",CA
Hotel Griffon - A Greystone Hotel,37.7928445,-122.3922586,4.3,"155 Steuart St, San Francisco",CA
InterContinental San Francisco,37.781973,-122.4047337,4.4,"888 Howard St, San Francisco",CA
Hotel Fusion,37.7855643,-122.4085222,3.8,"140 Ellis St, San Francisco",CA
"Staypineapple, An Elegant Hotel, Union Square San Francisco",37.7869422,-122.4129982,4.4,"580 Geary St, San Francisco",CA
Courtyard by Marriott San Francisco Downtown/Van Ness Ave.,37.7855464,-122.4208442,3.9,"1050 Van Ness Ave, San Francisco",CA
The Inn San Francisco,37.7580944,-122.4165306,4.8,"943 S Van Ness Ave, San Francisco",CA
Hotel Kabuki,37.7854788,-122.4288078,4.2,"1625 Post St, San Francisco",CA
Warwick San Francisco,37.7871218,-122.4113976,4.1,"490 Geary St, San Francisco",CA
InterContinental Mark Hopkins San Francisco,37.7915528,-122.4103924,4.3,"999 California St, San Francisco",CA
Phoenix Hotel,37.783058,-122.4181435,4.3,"601 Eddy St, San Francisco",CA
The Laurel Inn,37.7875944,-122.4466154,4.2,"444 Presidio Ave, San Francisco",CA
Howard Johnson by Wyndham San Francisco Marina District,37.8004817,-122.4335052,3.6,"1940 Lombard St, San Francisco",CA
"Club Quarters Hotel, San Francisco, Embarcadero",37.7952311,-122.4006767,4.1,"424 Clay St, San Francisco",CA
Hotel Abri,37.7853281,-122.4084839,4.1,"127 Ellis St, San Francisco",CA
Hotel Triton,37.7903361,-122.4053992,3.9,"342 Grant Ave, San Francisco",CA
