Hotel,Lat,Lng,Hotel Rating,Address,State
ClubHouse Hotel & Suites,43.526156,-96.773634,4.7,"2320 S Louise Ave, Sioux Falls",SD
Holiday Inn Sioux Falls-City Centre,43.5494207,-96.7275791,4.2,"100 W 8th St, Sioux Falls",SD
Staybridge Suites Sioux Falls Southwest,43.4963234,-96.7763571,4.6,"4210 W 59th St, Sioux Falls",SD
Hyatt Place Sioux Falls – South,43.524518,-96.78751609999999,4.8,"4935 W Lake Shore Blvd, Sioux Falls",SD
Hotel On Phillips Sioux Falls,43.5474766,-96.7266306,4.8,"100 N Phillips Ave, Sioux Falls",SD
GLo Best Western Dawley Farms In Sioux Falls,43.5355148,-96.6535263,4.4,"1211 S Darryl Pl, Sioux Falls",SD
Hilton Garden Inn Sioux Falls Downtown,43.5480184,-96.7246516,4.4,"201 E 8th St, Sioux Falls",SD
Candlewood Suites Sioux Falls,43.51985699999999,-96.779204,4.6,"2725 S Carolyn Ave, Sioux Falls",SD
Best Western Empire Towers,43.51611399999999,-96.77634499999999,4.2,"4100 W Shirley Pl, Sioux Falls",SD
Holiday Inn Express & Suites Sioux Falls Southwest,43.491248,-96.77278899999999,4.3,"3821 W Avera Dr, Sioux Falls",SD
Sioux Falls Inn,43.564583,-96.744063,3.2,"1300 West Russell Street, Sioux Falls",SD
Historic Victorian Inn,43.5480812,-96.73460109999999,4.7,"117 N Duluth Ave, Sioux Falls",SD
Hampton Inn & Suites Southwest/Sioux Falls,43.49053139999999,-96.7705661,4.5,"3701 W Avera Dr, Sioux Falls",SD
Holiday Inn Express & Suites Sioux Falls at Empire Mall,43.523147,-96.77767569999999,4.3,"2501 S Shirley Ave, Sioux Falls",SD
La Quinta Inn & Suites by Wyndham Sioux Falls,43.5142291,-96.7830606,4.4,"4521 W 41st St, Sioux Falls",SD
AeroStay Hotel,43.581232,-96.73191899999999,4.4,"2821 N Jaycee Ln, Sioux Falls",SD
Sheraton Sioux Falls & Convention Center,43.5626068,-96.7482299,4.2,"1211 N W Ave, Sioux Falls",SD
Hilton Garden Inn Sioux Falls South,43.4965693,-96.77201989999999,4.3,"5300 S Grand Cir, Sioux Falls",SD
Holiday Inn & Suites Sioux Falls - Airport,43.5652584,-96.7555118,4.4,"2040 W Russell St, Sioux Falls",SD
Microtel Inn & Suites by Wyndham Sioux Falls,43.5183532,-96.7792087,3.2,"2901 S Carolyn Ave, Sioux Falls",SD
