"City, State",Population,State Number,place
"New Orleans city, Louisiana",389648.0,22,55000
"Kansas City city, Missouri",481417.0,29,38000
"Portland city, Oregon",639387.0,41,59000
"Boston city, Massachusetts",679413.0,25,07000
"Chattanooga city, Tennessee",177365.0,47,14000
"Charlottesville city, Virginia",47042.0,51,14968
"San Francisco city, California",870044.0,06,67000
"Denver city, Colorado",693417.0,08,20000
"Sioux Falls city, South Dakota",174151.0,46,59020
"Las Vegas city, Nevada",626637.0,32,40000
"Chicago city, Illinois",2718555.0,17,14000
"Dallas city, Texas",1318806.0,48,19000
