Hotel,Lat,Lng,Hotel Rating,Vicinity
Aloft Dallas Downtown,32.7771861,-96.80111029999999,4.2,"1033 Young St, Dallas"
"The Statler Dallas, Curio Collection by Hilton",32.7804688,-96.7946415,4.4,"1914 Commerce St, Dallas"
Embassy Suites by Hilton Dallas Market Center,32.8077178,-96.84491349999999,4.0,"2727 N Stemmons Fwy, Dallas"
DoubleTree by Hilton Hotel Dallas - Market Center,32.7974536,-96.82598399999999,4.0,"2015 Market Center Blvd, Dallas"
Hotel Indigo Dallas Downtown,32.7819392,-96.79433709999999,4.3,"1933 Main St, Dallas"
The Lumen,32.8414295,-96.7874355,4.4,"6101 Hillcrest Ave, Dallas"
CANVAS Hotel | Dallas,32.7677116,-96.7960952,4.2,"1325 S Lamar St, Dallas"
Hilton Anatole,32.7998411,-96.82914840000001,4.4,"2201 N Stemmons Fwy, Dallas"
Magnolia Dallas Downtown,32.7800294,-96.79923989999999,4.3,"1401 Commerce St, Dallas"
W Dallas - Victory,32.7887625,-96.8090297,4.4,"2440 Victory Park Ln, Dallas"
Fairmont Dallas,32.7857161,-96.8017967,4.4,"1717 N Akard St, Dallas"
Lorenzo Hotel,32.7727924,-96.7954525,4.4,"1011 S Akard St, Dallas"
Hilton Garden Inn Downtown Dallas,32.7821357,-96.79898419999999,4.3,"1600 Pacific Ave, Dallas"
Renaissance Dallas Hotel,32.8038874,-96.8319324,4.4,"2222 N Stemmons Fwy, Dallas"
Crowne Plaza Dallas Downtown,32.7808613,-96.8035776,3.4,"1015 Elm St, Dallas"
Omni Dallas Hotel,32.775727,-96.80417,4.6,"555 S Lamar St, Dallas"
AC Hotel by Marriott Dallas Downtown,32.7803417,-96.7962067,4.3,"1712 Commerce St, Dallas"
The Beeman Hotel,32.8404037,-96.7752065,4.1,"6070 N Central Expy, Dallas"
Canopy by Hilton Dallas Uptown,32.8068795,-96.7952538,4.5,"2950 Cityplace W Blvd, Dallas"
"Homewood Suites by Hilton Dallas Downtown, TX",32.7810373,-96.80289499999999,4.3,"1025 Elm St, Dallas"
