Hotel,Lat,Lng,Hotel Rating,Vicinity
Caesars Palace,36.1161685,-115.174499,4.6,"3570 S Las Vegas Blvd, Las Vegas"
Bellagio Hotel and Casino,36.1126264,-115.1767051,4.7,"3600 S Las Vegas Blvd, Las Vegas"
The LINQ Hotel + Experience,36.1179171,-115.1707752,4.2,"3535 S Las Vegas Blvd, Las Vegas"
MGM Grand,36.102576,-115.1702533,4.4,"3799 S Las Vegas Blvd, Las Vegas"
Flamingo Las Vegas Hotel & Casino,36.1164409,-115.1707917,4.1,"3555 S Las Vegas Blvd, Las Vegas"
"The STRAT Hotel, Casino & SkyPod",36.1475119,-115.1565537,4.1,"2000 S Las Vegas Blvd S, Las Vegas"
Westgate Las Vegas Resort & Casino,36.1352864,-115.1524579,3.9,"3000 Paradise Rd, Las Vegas"
The Venetian Las Vegas,36.121174,-115.1696526,4.7,"3355 S Las Vegas Blvd, Las Vegas"
The Mirage,36.1211957,-115.1740735,4.4,"3400 S Las Vegas Blvd, Las Vegas"
SAHARA Las Vegas,36.1423552,-115.1567235,4.2,"2535 S Las Vegas Blvd, Las Vegas"
New York-New York Hotel & Casino,36.1023715,-115.1745559,4.4,"3790 S Las Vegas Blvd, Las Vegas"
"Treasure Island - TI Hotel & Casino, a Radisson Hotel",36.1247462,-115.1720827,4.3,"3300 Las Vegas Blvd S, Las Vegas"
Artisan Hotel Boutique,36.143717,-115.169865,4.0,"1501 W Sahara Ave, Las Vegas"
Bally's Las Vegas Hotel & Casino,36.1140385,-115.1676139,4.2,"3645 S Las Vegas Blvd, Las Vegas"
Golden Nugget Las Vegas Hotel & Casino,36.170222,-115.144969,4.3,"129 Fremont St, Las Vegas"
Planet Hollywood Resort & Casino,36.1100832,-115.1708721,4.4,"3667 S Las Vegas Blvd, Las Vegas"
Harrah's Las Vegas,36.1194161,-115.1707592,4.1,"3475 S Las Vegas Blvd, Las Vegas"
Park MGM Las Vegas,36.1045418,-115.1740799,4.2,"3770 S Las Vegas Blvd, Las Vegas"
ARIA Sky Suites,36.1073485,-115.1765836,4.7,"3730 S Las Vegas Blvd, Las Vegas"
Paris Las Vegas,36.1125414,-115.1706705,4.4,"3655 S Las Vegas Blvd, Las Vegas"
