,name,lat,lng
0,Roeland Park Police Department,39.0366253,-94.63832269999999
1,Police Reports,29.9058091,-90.06404590000001
2,Dallas Police Department - Central Patrol Division,32.7821506,-96.7781876
3,Portland Police Bureau,45.5150447,-122.676293
4,Charlottesville Police Department,38.0302044,-78.4773022
5,Chicago Police Board,41.8829017,-87.6298755
6,Commerce City Police Department,39.8059838,-104.8965063
7,Sioux Falls Police Department Law Enforcement Center,43.5542052,-96.73039759999999
8,Las Vegas Police Department,36.2145734,-115.0930488
9,Ingleside Police Station,37.7246842,-122.4462796
10,Chattanooga Police Department,35.0818463,-85.2632296
11,Cambridge Police Department,42.3672909,-71.0861288
