Hotel,Lat,Lng,Hotel Rating,Vicinity
Hilton San Francisco Financial District,37.7952284,-122.4040729,3.9,"750 Kearny St, San Francisco"
San Francisco Proper,37.7808855,-122.4126775,4.3,"1100 Market Street Hotel Entrance is at, 45 McAllister St, San Francisco"
InterContinental San Francisco,37.781973,-122.4047337,4.4,"888 Howard St, San Francisco"
Hotel Abri,37.7853281,-122.4084839,4.1,"127 Ellis St, San Francisco"
Hotel VIA,37.7793223,-122.3909444,4.5,"138 King St, San Francisco"
"The Ritz-Carlton, San Francisco",37.7916201,-122.4072756,4.6,"600 Stockton St, San Francisco"
The Inn San Francisco,37.7580944,-122.4165306,4.8,"943 S Van Ness Ave, San Francisco"
"Staypineapple, An Elegant Hotel, Union Square San Francisco",37.7869422,-122.4129982,4.4,"580 Geary St, San Francisco"
InterContinental Mark Hopkins San Francisco,37.7915528,-122.4103924,4.3,"999 California St, San Francisco"
Grand Hyatt San Francisco,37.7891412,-122.4072161,4.4,"345 Stockton St, San Francisco"
Hyatt Regency San Francisco,37.7942169,-122.3956663,4.4,"5 Embarcadero Center, San Francisco"
Mansion on Sutter,37.7870775,-122.4238528,4.6,"1409 Sutter St, San Francisco"
Hotel Fairmont San Francisco,37.7923897,-122.4104443,4.5,"950 Mason St, San Francisco"
FOUND Hotel San Francisco,37.7848678,-122.4092516,4.1,"140 Mason St, San Francisco"
Hotel Riu Plaza Fisherman´s Wharf,37.806832,-122.4137262,3.5,"2500 Mason St, San Francisco"
Petite Auberge,37.7895097,-122.4115034,4.3,"863 Bush St #3312, San Francisco"
Four Seasons Hotel San Francisco,37.7865889,-122.4044861,4.6,"757 Market St, San Francisco"
Hotel Kabuki,37.7854788,-122.4288078,4.2,"1625 Post St, San Francisco"
Lodge at the Presidio,37.80177339999999,-122.4582374,4.7,"105 Montgomery St, San Francisco"
Howard Johnson by Wyndham San Francisco Marina District,37.8004817,-122.4335052,3.6,"1940 Lombard St, San Francisco"
